站号       经度         纬度         省份    城市                    站点                        系统编号
320300051  117.167      34.2761      江苏    徐州市                  黄河新村                    1177A
320300052  117.1917     34.2328      江苏    徐州市                  淮塔                        1178A
320300058  117.256      34.2153      江苏    徐州市                  新城区                      1180A
320300059  117.244      34.2911      江苏    徐州市                  桃园路                      1181A
320300061  117.2933     34.2778      江苏    徐州市                  农科院                      1182A
320300084  117.1814     34.29        江苏    徐州市                  鼓楼区政府(启用161026)      3005A
320300085  117.1694     34.1781      江苏    徐州市                  铜山区招生办(启用161026)    3006A
320400101  119.996      31.7586      江苏    常州市                  市监测站                    1196A
320400104  119.935      31.7039      江苏    常州市                  武进监测站                  1200A
320400105  119.905      31.9108      江苏    常州市                  安家                        1201A
320400108  119.9736     31.8108      江苏    常州市                  行政中心(启用161026)        3002A
320400109  120.0469     31.7694      江苏    常州市                  经开区(启用161026)          3003A
